"","pais","waste","PIBcapta","Escolaridade"
"1","Albania",82.7837733707058,5180.914198,9.913405
"2","Andorra",84.2723803156744,37072.405384,10.5914733333333
"3","Angola",99.5912966894316,1895.770703,3.99069
"4","Argentina",72.4321627300952,8475.729582,10.85475625
"5","Armenia",93.0434158099813,4266.005479,11.3211625
"6","Aruba (Neth.)",73.9207696750638,23385.638671,8.36316
"7","Australia",101.697810824663,55822.712845,12.3262818181818
"8","Austria",39,48105.631983,11.9541288888889
"9","Azerbaijan",93.0434158099813,4202.232239,10.501874
"10","Bahamas, The",73.9207696750638,25194.289197,11.86261
"11","Bahrain",131.709160029449,19925.001599,9.70709
"12","Bangladesh",65.124075,2000.640157,5.944527
"13","Belarus",68.3800654973451,6377.055432,12.14358
"14","Belgium",49.9195118269231,45028.323405,11.7841144444444
"15","Belize",52.6738888071775,3987.726394,9.66691
"16","Bermuda (UK)",73.6888796468385,123944.906901,11.693595
"17","Bhutan",78.6268686487453,3217.962935,3.13788
"18","Bosnia and Herzegovina",82.7837733707058,6035.475569,8.98240857142857
"19","Brazil",59.5988538681948,6796.844058,7.42647
"20","Brunei Darussalam",80.1742034400177,27436.741515,11.56127
"21","Bulgaria",68.3800654973451,10058.077407,11.0593755555556
"22","Burkina Faso",102.694332278604,830.925337,1.602925
"23","Burundi",102.694332278604,285.875782,2.41522
"24","Cabo Verde",99.5912966894316,3064.276546,5.85897
"25","Cambodia",86.3371266994304,1512.728288,3.63628
"26","Cameroon",99.5912966894316,1502.328062,5.20321
"27","Canada",78.5416213234687,43559.710092,13.64734
"28","Cayman Islands (UK)",73.9207696750638,95190.932506,13.41664
"29","Chile",73.9207696750638,13231.709642,10.050392
"30","China",63.9191341806214,10429.630529,6.72648
"31","Colombia",70.431888,5332.77279,8.064383
"32","Costa Rica",72.4321627300952,12076.805961,8.55256375
"33","Croatia",84.2723803156744,13934.241955,11.14391
"34","Cuba",72.4321627300952,9477.852873,11.49943
"35","Cyprus",94.5320227549499,28133.071159,11.9181333333333
"36","Czech Republic",69.8686724423137,22910.628937,12.6305122222222
"37","Denmark",81.3335275543848,61476.596929,12.7054766666667
"38","Dominican Republic",72.4321627300952,7268.188603,7.7041
"39","Ecuador",72.4321627300952,5600.39152,8.38680555555556
"40","Egypt, Arab Republic of",91.0161795549311,3608.842256,9.04571
"41","El Salvador",80.0836929344765,3798.634701,6.644455
"42","Estonia",77.5071633237822,23105.523391,13.492001
"43","Ethiopia",92.14271325,840.36193,2.17183
"44","Fiji",75.7131191461685,5013.230983,10.63036
"45","Finland",65.4236888217853,48685.245393,12.59448125
"46","France",84.7901718114586,38958.603419,11.1751622222222
"47","Gambia, The",102.694332278604,757.412441,5.2948
"48","Georgia",100.974,3983.689756,12.725158
"49","Germany",75,45908.724713,14.01232125
"50","Ghana",84.0075,2205.526086,7.58078
"51","Greece",141.690544412607,18117.070258,10.642158
"52","Greenland (Den.)",73.6888796468385,55138.569878,10.75513
"53","Guatemala",72.4321627300952,4331.686958,5.3038075
"54","Guinea",102.694332278604,1179.48889,1.86100333333333
"55","Honduras",80.0836929344765,2405.734997,6.21074714285714
"56","Hungary",93.8252148997135,16128.651665,11.92639625
"57","Iceland",76.1854793537638,63644.018266,13.747265
"58","India",50.3214780952381,1930.971218,5.30191
"59","Indonesia",77.36981175,3869.58852,7.98674
"60","Iran, Islamic Republic of",70.975338444364,11183.274877,10.014174
"61","Iraq",120.439034918836,4145.863967,7.77047
"62","Ireland",54.7,86250.994153,11.3344933333333
"63","Israel",99.5839194360265,47033.586547,12.7437616666667
"64","Italy",67.0487106017192,31238.048346,10.16876
"65","Jamaica",72.4321627300952,4664.519718,8.43943
"66","Japan",64.3218659914175,39989.725509,12.5299
"67","Jordan",93.0434158099813,4282.721671,10.1343733333333
"68","Kazakhstan",75.7131191461685,9111.410501,12.21007
"69","Kenya",99.2385369915733,1878.581192,5.66112
"70","Kuwait",94.5320227549499,24809.039629,7.087256
"71","Latvia",76.1854793537638,17870.510316,12.8646744444444
"72","Lithuania",76.1854793537638,20771.84218,12.85927
"73","Luxembourg",89.25,117181.646629,12.9629666666667
"74","Madagascar",102.694332278604,469.766309,5.07324
"75","Malaysia",91.442717194289,10401.793199,10.23651
"76","Mali",102.694332278604,855.863188,1.973116
"77","Malta",129,33770.790122,11.1427544444444
"78","Marshall Islands",75.7131191461685,4130.1309,10.88314
"79","Mauritania",99.5912966894316,1702.487691,4.21118
"80","Mauritius",93.428373430019,8586.942672,8.52007
"81","Mexico",93.9001945807149,8325.571218,8.59488555555556
"82","Mongolia",77.5683398204753,4007.31128,9.732735
"83","Montenegro",82.7837733707058,7625.722017,11.2839
"84","Mozambique",102.694332278604,448.843891,2.95761666666667
"85","Myanmar",86.3371266994304,1291.748968,6.3768
"86","Nepal",78.6268686487453,1135.287957,3.52148
"87","Netherlands",50,53333.657572,12.1496444444444
"88","New Zealand",61,43972.130573,13.25962
"89","Niger",102.694332278604,567.669697,1.63977
"90","North Macedonia",82.7837733707058,5886.461037,10.22815
"91","Norway",78.8,66870.730726,12.7729857142857
"92","Oman",94.5320227549499,12408.89814,9.70761
"93","Pakistan",73.638965625,1167.216496,4.8836125
"94","Palau",78.6903330361058,14566.909639,12.81512
"95","Panama",73.9207696750638,12269.045876,9.90849
"96","Paraguay",72.4321627300952,4949.74413,8.43090375
"97","Peru",72.4321627300952,6162.698252,9.13892142857143
"98","Philippines",86.3371266994304,3298.830062,8.8691425
"99","Poland",55.9403,15764.10583,12.7761314285714
"100","Portugal",84.2723803156744,22413.039839,8.88384818181818
"101","Puerto Rico (US)",73.9207696750638,36051.590208,12.37638
"102","Qatar",94.5320227549499,50814.93445,9.32002428571429
"103","Korea, Republic of",71.4054165610626,31946.982511,11.87727
"104","Moldova",76.0315957017264,2953.510884,11.7042275
"105","Romania",69.8686724423137,12928.580656,10.9908622222222
"106","Russian Federation",33.3755206458517,10165.505967,12.41369
"107","Rwanda",164.3625,797.705403,4.05225
"108","Saint Lucia",72.4321627300952,8804.664206,8.42263666666667
"109","Saudi Arabia",104.88,20110.315319,10.3977233333333
"110","Senegal",99.5912966894316,1457.990727,2.66653
"111","Serbia",82.7837733707058,7655.695885,10.86386
"112","Singapore",80.1742034400177,58114.245347,11.5204736363636
"113","Slovak Republic",69.8686724423137,19263.637523,12.6283611111111
"114","Slovenia",34.207218234128,25777.396719,12.4554344444444
"115","South Africa",39.7762253498839,5094.384038,10.1703328571429
"116","Spain",77.3256647277608,27408.6349,9.8435925
"117","Sri Lanka",75.86571225,3767.606655,10.637656
"118","Suriname",72.4321627300952,7022.767223,9.07187
"119","Sweden",81,53574.552637,12.35731
"120","Switzerland",71.6751401545847,86918.648293,13.59258
"121","Tajikistan",97.2222507332759,838.451016,11.42108
"122","Thailand",78.6855964950491,7189.047989,8.181096
"123","Togo",102.694332278604,863.14473,3.64312
"124","Tonga",75.7131191461685,4646.106308,10.91546
"125","Trinidad and Tobago",73.9207696750638,15285.973254,10.64012
"126","Tunisia",91.0161795549311,3318.333356,6.8528825
"127","Uganda",102.694332278604,846.116481,5.50929
"128","United Arab Emirates",94.5320227549499,36284.547906,12.0190125
"129","United States of America",58.8332311916738,63122.594145,13.27785
"130","Uruguay",73.9207696750638,15438.401395,8.644172
"131","Uzbekistan",91.0161795549311,1724.187748,11.55197
"132","Vietnam",76.1616925875,2785.724225,8.37028
"133","Zimbabwe",99.5912966894316,1465.845054,8.14785333333333
