"","waste","PIBcapta","Escolaridade","cluster"
"Albania",0.0467484602666588,-0.577215630896524,0.178338871278528,3
"Andorra",0.125621875418861,0.746181136584769,0.389565255567976,3
"Angola",0.93729029797528,-0.713538772910772,-1.66665758870502,4
"Argentina",-0.501728682279549,-0.440491135851671,0.471581028608584,3
"Armenia",0.590352693849744,-0.615181470568411,0.616872145970166,2
"Aruba",-0.422855267127348,0.178223284767348,-0.304580961451425,1
"Australia",1.04890334967682,1.52426003350574,0.92997881814779,6
"Austria",-2.27312230593508,1.20402540391132,0.814048735893636,5
"Azerbaijan",0.590352693849744,-0.617827859825519,0.361653993112022,2
"Bahamas",-0.422855267127348,0.253276603712261,0.78553950895605,3
"Bahrain",2.63904614264674,0.0346177102333733,0.114069284671457,2
"Bangladesh",-0.888945629945112,-0.709187019785723,-1.05801402770556,1
"Belarus",-0.716427900468753,-0.527579524723427,0.873065019699278,3
"Belgium",-1.69455508072142,1.07632675849785,0.76108720589495,5
"Belize",-1.54861520063182,-0.626729178996304,0.101552734784768,1
"Bermuda",-0.435141894250569,4.3511172312971,0.732889317838612,6
"Bhutan",-0.173503952898219,-0.658671946031701,-1.93231808917458,4
"Bosnia and Herzegovina",0.0467484602666588,-0.541754016718626,-0.111677635504528,1
"Brazil",-1.18169789850703,-0.510159614583957,-0.596371083735207,1
"Brunei Darussalam",-0.0915188595302414,0.346331335194209,0.69166849992532,3
"Bulgaria",-0.716427900468753,-0.374828668567754,0.535322386143832,3
"Burkina Faso",1.10170375519048,-0.757726512738079,-2.41047490428961,4
"Burundi",1.10170375519048,-0.780344358200281,-2.15743531020779,4
"Cabo Verde",0.93729029797528,-0.665049448708583,-1.0846660550489,4
"Cambodia",0.235021874700353,-0.729433830650868,-1.77706053657314,4
"Cameroon",0.93729029797528,-0.72986540738051,-1.28894312706719,4
"Canada",-0.178020758156908,1.01538391641597,1.34150421973927,6
"Cayman Islands",-0.422855267127348,3.15791756105754,1.26963841439186,6
"Chile",-0.422855267127348,-0.243132893776979,0.221011957872053,3
"China",-0.95278907619659,-0.3594103804189,-0.814426329011045,1
"Colombia",-0.607712669347795,-0.570913976057152,-0.397653565371166,1
"Costa Rica",-0.501728682279549,-0.291057770957341,-0.245579431197546,1
"Croatia",0.125621875418861,-0.213980008242311,0.561655875218791,3
"Cuba",-0.501728682279549,-0.398906165233887,0.672404601344115,3
"Cyprus",0.669226109001945,0.375226829437374,0.802835690427964,2
"Czechia",-0.637554485316552,0.158511872001121,1.02475022255842,3
"Denmark",-0.0300924014060918,1.75887847379254,1.04810254233486,6
"Dominican Republic",-0.501728682279549,-0.490600295655128,-0.509886022883008,1
"Ecuador",-0.501728682279549,-0.55980863889578,-0.297215088487025,1
"Egypt",0.482940158058075,-0.64245168129495,-0.0919584844688649,2
"El Salvador",-0.0963145328967539,-0.63457589064156,-0.839978096170219,1
"Estonia",-0.232831220745815,0.166599380011309,1.29311426596007,3
"Ethiopia",0.542629225151594,-0.75733492375281,-2.23325420211722,4
"Fiji",-0.327888140707517,-0.584173957912267,0.401678916674517,3
"Finland",-0.873070676902011,1.22807754084995,1.0135261443781,6
"France",0.153056910400594,0.824452433708823,0.571391315699479,3
"Gambia",1.10170375519048,-0.760777067143553,-1.26041174816919,4
"Georgia",1.01055243921101,-0.626896686801114,1.05423351273065,2
"Germany",-0.365672555632385,1.11286064894211,1.45520023823929,6
"Ghana",0.111587267307936,-0.700684896929203,-0.548301675745786,1
"Greece",3.16790695235037,-0.0404057647917722,0.405354134583007,2
"Greenland",-0.435141894250569,1.49587024810053,0.440546261855257,6
"Guatemala",-0.501728682279549,-0.612455895383323,-1.25760580433882,1
"Guinea",1.10170375519048,-0.74326221953173,-2.33008042111788,4
"Honduras",-0.0963145328967539,-0.692376855637153,-0.975083273626103,1
"Hungary",0.6317760960302,-0.122918894172536,0.80540968765714,2
"Iceland",-0.30286026959556,1.84881965510723,1.37263205068569,6
"India",-1.6732570124401,-0.712078062043005,-1.25819689825146,1
"Indonesia",-0.240108754776776,-0.631631529897893,-0.421840287194266,1
"Iran (Islamic Republic of)",-0.578918102281016,-0.328136505887389,0.209729618305202,3
"Iraq",2.04190177242122,-0.620166966156993,-0.489210975198102,2
"Ireland",-1.44126227594196,2.78693818449468,0.621024859769255,6
"Israel",0.936899416304017,1.15953888378214,1.06002877708877,6
"Italy",-0.786969360558362,0.504073635264466,0.257885003591006,3
"Jamaica",-0.501728682279549,-0.598644380702905,-0.280821945526644,1
"Japan",-0.931450445864869,0.867240763449378,0.993408313681994,5
"Jordan",0.590352693849744,-0.614487801077437,0.247173146229865,2
"Kazakhstan",-0.327888140707517,-0.414112373301883,0.893777448817395,3
"Kenya",0.918599425819815,-0.714252083654359,-1.14629869305491,4
"Kuwait",0.669226109001945,0.237289956051565,-0.702040296111095,2
"Latvia",-0.30286026959556,-0.0506372283608516,1.09769455147883,3
"Lithuania",-0.30286026959556,0.0697589358640944,1.09601100248684,3
"Luxembourg",0.389359637195766,4.07046316186529,1.12831375264655,6
"Madagascar",1.10170375519048,-0.77271347861604,-1.32943033435373,4
"Malaysia",0.505540133438292,-0.360565542224363,0.278989937757835,2
"Mali",1.10170375519048,-0.756691670208802,-2.29515598644234,4
